Gene_Name	HLA-A	HLA-B	HLA-C	HLA-DMA	HLA-DMB	HLA-DOA	HLA-DOB	HLA-DPA1	HLA-DPB1	HLA-DPB2	HLA-DQA1	HLA-DQA2	HLA-DQB1	HLA-DRA	HLA-DRB1	HLA-DRB5	HLA-E	HLA-F	HLA-H	HLA-J	HLA-L
CGGA_D48	104.61	53.07	51.91	27.49	25.7	5.48	0.39	51.48	15.38	0.08	11.82	0.82	9.46	99.22	13.44	0.67	136.06	17.99	0.76	1.3	0.31
CGGA_D52	106.51	157.45	112.36	7.42	4.43	1.27	0.1	25.49	10.02	0.53	2.81	0.17	7.25	36.81	18.94	14.31	68.85	11.57	0.49	1.16	2.48
CGGA_D56	373.67	500.04	133.1	23.97	13.28	7.68	1.87	83.5	43.16	0.3	1.55	0.83	0.49	81.2	10.23	1.31	95.87	36.51	7.62	0.3	0.93
CGGA_D59	168.55	190.74	9.06	37.16	24.14	6.81	0.11	94.38	18.97	0.23	19.37	1.51	8.34	199.29	23.65	0.98	84.94	12.64	2.97	0	0.36
CGGA_277	213.68	161.59	112.01	16.7	15.65	2.44	1.29	40.67	19.83	0.13	0.67	0.39	1.52	61.05	13.74	2.92	93.25	31.5	3.07	0.38	1.44
CGGA_518	153.52	44.01	20.11	9.17	7.49	1.68	0.03	19.22	6.72	0.09	4.77	0	7.67	34.15	27.09	17.11	46.1	10.44	15.34	0.56	0.41
CGGA_J023	42.07	32.9	4.2	11.43	11.46	2.54	0.59	43.11	24.49	0.03	18.72	0.13	10.34	78.77	9.4	0.93	49	6.49	0.72	0.3	0.74
CGGA_J024	125.4	417.16	53.8	34.82	33.26	3.44	0.36	59.42	16.94	0.05	11.12	0	9.46	144.19	57.63	42.3	225.2	25.01	0.59	0.39	0.47
CGGA_J042	567.91	302.46	129.93	89.65	60.62	18.55	1.19	348.85	266.24	0.18	43.18	3.81	24.55	608.19	117.82	10.98	246.71	53.49	6.63	0.35	1.41
CGGA_J100	108.27	105.31	9.46	42.71	38.58	7.13	0.15	94.13	14.82	0.12	35.81	0.04	49.22	214.6	97.71	68.51	113.35	9.54	1.21	0.29	1.99
CGGA_1004	213.54	214.8	121.54	221.65	175.57	39.51	4.47	831.74	347.48	0.92	372.03	6.81	208.66	1392.62	152.06	5.66	544.78	103.64	2.36	1.6	0.51
CGGA_1008	888.78	521.57	755.27	24.97	17.45	5.19	0.8	160.47	70.68	0	14.5	0.06	17.17	141.19	38.63	7.91	314.22	67.05	3.3	0.5	1.22
CGGA_1053	311.88	405.91	77.39	81.38	60.6	11.9	0.9	384.1	148.77	0	12.86	11.32	1.38	457.44	49.91	6.61	259.53	28.99	2.02	0.11	0.46
CGGA_1059	232.14	202.95	112.73	76.4	82.79	19.16	0.72	428.44	133.1	0.07	114.58	6.88	22.02	528.08	51.59	2.55	194.51	31.53	2.35	0.82	0.59
CGGA_1070	464.14	437.28	97.22	47.55	35.49	6.83	0.24	134.93	41.13	0.09	25.67	0.19	36.9	187.53	123.58	88.96	165.12	24.04	4.9	0.47	0.16
CGGA_1071	386.13	1002.43	48.34	43.49	29.83	5.55	0.28	148.12	42.05	0.21	64.67	0.09	94.56	325.26	193.61	103.42	175.61	23.32	3.44	7.15	1.15
