Gene_Name	HLA-A	HLA-B	HLA-C	HLA-DMA	HLA-DMB	HLA-DOA	HLA-DOB	HLA-DPA1	HLA-DPB1	HLA-DPB2	HLA-DQA1	HLA-DQA2	HLA-DQB1	HLA-DRA	HLA-DRB1	HLA-DRB5	HLA-E	HLA-F	HLA-H	HLA-J	HLA-L
CGGA_1183	358.17	721.5	40.14	18.75	15.43	2.77	0.93	154.84	57.81	0.03	12.61	0	10.59	63.26	63.1	65.87	211.66	27.14	2.38	0.46	0.12
CGGA_1184	354.55	166.51	35.82	16.6	9.61	2.28	0.47	104.24	83.71	0.03	0.06	0.16	0.02	60.05	7.63	0.03	114.73	38.16	1.44	1.05	2.44
CGGA_1185	318.04	100.41	7.7	89.3	11.33	1.9	1.08	172.24	37.71	0.19	8.2	0.04	81.52	79.9	76.34	74.46	75.08	74.81	15.02	0.73	0.63
CGGA_1191	115.8	323.25	192.12	4.28	2.29	0.26	0.12	8.86	3.73	0.08	2.53	0	1.22	8	0.6	0	32.86	34.27	0.35	0.06	0.29
CGGA_1192	160.92	304.34	26.69	51.18	40.35	8.15	2.29	127.12	15.77	0.09	0	0.36	0	193.8	28.54	0	276.57	77.93	0.2	0.41	0.29
CGGA_1195	67.15	55.29	17.22	10.63	15.03	2.06	0.06	22.67	24.73	0	3.34	0.07	12.42	18.33	8.49	2.19	176.02	29.32	2.08	0.05	0.16
CGGA_1198	16.42	6.41	3.56	0.74	1.63	0.46	0	6.39	4.19	0.08	2.62	0.06	2.71	4.37	0.39	0.08	13.04	3.01	0.05	0.05	0.49
CGGA_120	885.71	865.38	281.31	31.15	19.71	4.14	0.5	166.78	85.37	0.15	22.35	0	17.2	85.12	78.32	5.85	264.79	83.61	11.03	0.72	0.2
CGGA_1204	21.58	88.64	110.49	3.54	3.41	0.14	0.11	10.89	3.99	0.18	0	0	0.59	4.78	0.37	0	47.05	7.84	0.04	0.19	0.51
CGGA_1205	61.88	53.64	2.47	7.04	6.42	5.55	0.09	60.07	11.89	0.05	0.22	0.08	0.08	31.24	4.33	0.14	46.15	11.41	6.2	0.07	0.71
CGGA_1207	243.1	136.82	186.09	3.49	6.07	0.65	0.63	23.56	22.26	0	0.68	0.03	34.27	24.2	23.81	23.32	106.61	30.47	0.9	0.05	0.84
CGGA_1208	114.11	163.2	65.32	30.73	15.34	1.03	1.18	119.95	32.12	0	0.65	0.72	0.07	104.85	8.07	0	323.01	81.53	0.21	1.36	1.08
CGGA_1211	90.02	288.87	14.05	11.55	11.5	1.99	0.1	152.85	58.58	0.27	14.7	0.03	38.69	81.74	89.61	59.64	138.23	44.05	0.21	0.21	0.61
CGGA_1212	108.54	138.3	46.07	10.04	13.15	1.27	0.13	33.32	10.24	0.04	0.36	0.03	0.03	36.57	1.77	0.08	69.29	27.97	0.51	0.11	0.51
CGGA_1223	1385.86	1071.67	108.28	38.31	14.68	4	3.08	51.14	34.03	0.3	0.76	1.6	0.07	110.29	8.64	0.32	273.1	117.23	54.57	0.89	0.45
CGGA_1226	131.59	117.2	10	16.97	21.91	2.68	0.33	89.32	43.86	0.11	4.91	0.14	4.53	51.95	3.41	0.04	146.89	34.31	0.62	0.46	1.76
CGGA_1228	124.73	142.86	114.52	28.21	12.95	4.58	1.92	150.03	45.86	0.23	11.38	0.11	83.07	160.17	105.37	99.16	96.9	38.76	0.61	0.37	1.95
CGGA_1232	475.46	681.95	479.73	100.68	43.46	10.95	7.27	268.86	16.75	0.24	1.23	1.87	0.03	302.72	38.88	1.81	208.24	135.45	2.85	0.19	0.79
CGGA_1235	212.02	371.64	19.04	55	21.23	4.05	0.95	105.27	67.11	0.05	0.69	0.83	0	159.88	8.87	0	268.37	56.67	9.66	0.49	0.36
CGGA_1236	74.21	20.59	7.45	9.8	9.1	1.64	1.93	44.18	3.54	0.07	12.2	0.03	6.24	37.33	1.21	0	114.03	23.5	3.47	0.28	0.41
CGGA_1238	846.95	245.61	50.04	63.6	43.85	10.86	1.01	279.74	110.27	1.26	36.38	0.45	96.55	231	334.08	274.94	170.97	135.68	12.43	0.26	0.57
CGGA_1239	178.51	98.38	8.25	7.16	8.19	0.39	0.05	5.74	0.93	0.19	0	0.03	0.04	8.52	0.87	0.09	112.16	24.88	1.37	0.1	0.49
CGGA_1248	233.62	165.05	33.17	68.01	21.58	6.76	0.44	125.78	41.02	0.56	20.75	0	19.61	171.08	68.18	1.77	131.79	37.79	0.66	0.46	2.07
CGGA_1255	796.45	607.8	18.67	75.38	30.23	5.93	1.22	125.38	80.54	0	17.6	1.42	36.24	240.55	85.53	5.14	177.36	127.07	2.11	8.3	3.36
CGGA_1256	255.28	145.43	42.49	21.25	11.34	2.5	0.85	38.03	27.32	0.03	2.43	0.4	18.9	51.74	34.42	14.9	219.34	59.1	1.15	0.91	0.33
CGGA_1257	86.06	115.57	11.77	29.25	17.55	2.88	2.76	96.22	27.24	0.23	24.49	0.69	4.25	174.24	5.43	0.03	109.36	19.01	0.46	0.54	1.22
CGGA_1260	658.1	212.41	44.37	51.05	20.69	2.38	1.01	32.84	26.73	0.05	4.07	0.29	36.36	62.45	60.94	54.3	208.57	123.53	2.8	1.55	0.46
CGGA_1262	91.2	154.6	4.46	11.7	13.22	3.79	0.41	46.39	35.86	0.08	0.41	3.56	0.03	75.8	7.15	0.04	105.19	16.86	7.8	0.11	0.42
CGGA_1264	106.93	43.7	17.54	31.98	16.46	1.72	0.31	31.49	5.75	0.24	0.12	0.03	0	47.27	4.04	0.13	206.2	30.51	0.14	0.18	0.37
CGGA_1269	472.1	184.73	36.93	17.65	11.98	2.99	0.38	154.09	53.64	0.34	0.15	0.18	0.66	54.67	9.24	0.67	144.62	103.38	13.84	0.18	0.64
CGGA_1273	290.85	222.4	28.14	13.22	9.4	0.91	0.3	22.56	2.94	0.81	3.45	0.29	9.15	24.47	37.26	28.45	133.06	66.52	0.55	0.49	2.13
CGGA_1282	168.57	613.01	523.67	29.02	8.73	0.85	0.29	16.09	2.78	0.15	7.98	0.16	7.76	19.98	0.83	0.24	65.67	61.03	4.43	0.12	0.3
CGGA_1286	278.62	71.53	16.87	5.35	10.76	0.27	0.4	8.98	5.1	0.07	0.14	0.07	1.97	5.2	20.6	0.4	119.32	40.95	0.91	0.26	0.09
CGGA_1291	69.03	38.75	208.95	5.89	7.74	2.44	0.12	13.44	5.84	0	0.71	0.13	17.85	17.37	2.96	0.28	101.06	62.17	0	0.39	0.15
CGGA_1295	674.71	426.26	42.45	127.13	105.07	14.21	2.15	743.36	235.56	0.39	1.11	3.64	0.41	431.98	58.2	0.47	361.68	130.2	1.13	0.53	1.07
CGGA_1300	145.67	357.92	222.2	26.03	21.19	2.68	4.59	76	14.86	0.03	5.33	0.22	15.07	81.77	5.45	0.03	180.01	53.29	2.95	0.26	0.49
CGGA_1303	21.53	25.16	26.9	1.6	3.04	0.73	0.27	10.88	6.78	0.03	0.98	0	0.6	5.8	0.33	0.2	32.93	4.21	0.17	0.06	0.68
CGGA_1305	767.02	337.12	29.14	17.69	21.4	2.45	1.23	59.39	39.32	0.1	0	0.15	0.03	44.15	14.44	0.28	156.67	72.13	11.2	0.13	0.27
CGGA_1309	115.95	274.82	288.94	29.32	11.73	1.07	0.15	22.98	30.66	0.27	0.08	0.28	1.33	17.33	5.67	0.67	95.52	32.26	0.04	0	0.07
CGGA_1311	97.62	35.28	5.4	4.77	2.67	0.36	0	21.62	3.05	0	0.12	0.09	0.03	17.2	0.44	0	54.55	8.84	0.71	0.09	0.25
CGGA_1317	35.5	10.94	21.57	0.55	0.61	0.3	0	2.19	0.83	0	0	0	0	1.16	0.14	0	16.04	3	0.06	0.13	0.78
CGGA_1318	276.68	206.69	29.34	65.04	42.16	11.08	3.66	345.3	102.96	0.62	83.23	0.52	488.03	206.68	261.48	249.92	188.04	122.4	1.85	0.24	1.2
CGGA_1319	152.01	86.48	7.86	5.22	8.78	0.22	0.39	3.3	3.5	0	0.06	0	0.73	5.2	9.29	7.46	75.09	23.33	4.05	0.32	0.18
CGGA_1321	345.2	326.13	19.77	24.13	22.59	3.41	0.18	50.7	6.19	0.09	0	0.3	0	68.78	9.75	0.48	121.79	36.02	1.21	0.3	0.61
CGGA_1325	30.8	50.65	2.9	6.29	13.83	4.27	0.14	30.89	12.39	0	22.5	2.03	1.64	37.73	13.61	0.99	64.46	10.7	0.15	0.11	1.12
CGGA_1326	520.48	527.74	81.86	37.27	69.54	8.48	1.84	196.18	166.88	0.28	1.06	1.94	4.54	275.74	52.08	2.48	305.99	128.29	0.78	0.66	0.41
CGGA_1334	271.83	391.06	360.51	73.95	28.34	4.42	1.52	76.34	10.19	0.28	33.37	0	56.03	185.15	207.09	270.33	137.73	84.51	0.98	1.15	0.46
CGGA_1335	99.71	122.22	191.55	8.43	10.75	0.57	0.1	20.36	1.16	0.1	2.81	0.07	1.86	18.36	3.72	0.28	118.96	20.04	0.14	0.08	0.4
CGGA_1337	289.96	240.72	32.62	16.03	24.94	2.64	0.19	105.08	115.06	0.26	3.36	0.4	14.96	52.36	43.89	1.1	192.74	142.98	0.89	0.7	0.3
CGGA_1339	43.55	171.77	126.85	11.76	9.63	1.42	1.12	16.85	12.32	0.18	2.44	0	6.91	30.5	22.48	15.69	109.66	14.29	0.2	0.12	0.41
CGGA_1345	996.11	1711.45	37.77	50.82	97.52	15.51	0.8	132.03	164.86	0.47	16.7	0.76	759.38	148.2	442.32	353.44	625.22	283.05	12.61	0.19	0.15
CGGA_135	483.15	1135.66	469.48	99.55	129.48	28.99	1.67	341.84	52	1.67	0.19	2	0.11	518.33	68.62	3.34	340.34	92.01	1.51	0.91	1.08
CGGA_1350	27.6	5.35	2.76	1.94	3.69	1.07	0.37	5.44	1.34	0	0.17	0.12	0.07	2.78	0.19	0	33.66	4.01	2.06	0.1	0.25
CGGA_1353	889.2	725.57	78.24	123.76	63.1	13.39	1.26	497.08	109.28	0.56	46.86	1.15	101.75	492.72	56.35	5.63	368.09	99.38	12.91	0.2	0.44
CGGA_1354	164.35	333.22	40.58	21.13	19.46	4.61	0.28	116.39	82.25	0.06	0.02	0.22	0.29	86.03	10.53	0.86	129.78	38.61	1.69	0.09	0.3
CGGA_1356	172.06	123.82	7.87	14.34	12.03	1.39	0.39	61.8	20.9	0.22	13.32	0.05	2.96	60.34	3.6	0.03	90.3	26.23	3.79	0.15	1.34
CGGA_1359	1295.1	228.58	321.57	43.04	43.63	4.68	0.25	238.8	136.59	0.4	20.15	0	18.32	167.2	281.52	141.3	115.13	101.22	18.49	1.79	0.37
CGGA_1361	61.26	125.08	13.91	26.75	17.12	2.94	0.14	217.98	92.08	0.03	39.03	0.21	6.44	89.87	4.57	0.03	109.53	18.13	0.15	0.14	0.75
CGGA_1362	382.04	362.3	25.14	40.97	44.73	7.09	1.44	172.82	29.43	0.59	2.45	3.78	1.13	250.96	16.55	0.7	235.41	62.33	15.34	0.39	0.97
CGGA_1365	10.37	7.06	7.05	3.49	7.25	4.98	0	42.66	29.42	0	6.52	0	0.5	27.75	1.79	0	28.85	4.42	0	0.05	0.23
CGGA_1368	19.8	8.08	0.56	0.52	0.9	0.25	0.18	3.46	1.43	0.03	0.88	0	0.67	2.09	0.37	0.04	17.15	5.18	1.1	0.11	0.39
CGGA_1369	231.15	293.9	195.13	9.77	29.55	1.23	0.11	17.01	24.75	0	0.01	0.08	0.18	14.15	9.14	0.17	112.7	34.81	0.52	0.09	0.43
CGGA_1371	523.35	436.26	60.99	42.47	47.1	10.15	1.31	143.86	245.76	0.04	12.59	1.22	30.39	160.71	38.35	0.18	289.58	68.15	14.32	2.83	0.66
CGGA_1377	148.54	144.72	127.02	14.94	21.29	1.1	0.03	21.6	5.25	0	0.02	0.1	0.03	25.86	2.32	0.07	91.91	13.26	0.77	0.12	0.37
CGGA_1378	47.01	39.56	7.63	2.69	6.64	1.12	0	8.54	2.56	0.04	3.06	0.03	0.26	8.59	2.04	0.16	35.02	6.63	2.89	0	0.23
CGGA_1380	229.72	343.04	324.27	39.45	39.9	8.54	0.64	170.85	41.18	0.08	12.05	0.03	8	108.69	8.74	0	273.12	80.13	5.73	0.13	1.22
CGGA_1382	134.97	297.31	189.58	27.57	29.92	9.01	1.32	299.34	110.33	0.52	87.69	0.24	68.02	314.5	169.11	104.75	225.15	26.36	4.19	0.44	0.73
CGGA_1383	211.05	168.1	20.62	5.61	10.45	0.57	0.2	9.32	2.72	0.14	0.29	0.1	1.57	21.1	4.25	0.81	67.41	73.54	0.79	0.08	0.18
CGGA_1386	324.73	769.39	13.77	6.43	25.65	1.27	0.1	11.58	25.98	0	1.02	0	121.21	16.48	40.84	29.01	251.15	89.89	0.33	0.31	0.02
CGGA_1387	300.64	409.18	16.49	20.31	22.03	4.03	0.15	148.5	59.72	0	0.53	0.14	0.23	82.58	4.36	0.17	126.45	20.93	12.38	0.43	0.93
CGGA_1389	348.83	282.82	20.37	7.1	7.32	0.91	0.28	14.16	14.1	0.21	0.19	0.31	0.12	27.68	38.3	26.7	106.84	78.01	1.77	0.25	0.46
CGGA_139	142.26	42.22	73.54	9.58	7.41	2.43	0.21	38.4	20.81	0.35	0.54	0.34	0.02	56.35	3.14	0.12	61.78	21.57	3.09	0.08	2.73
CGGA_1390	97.38	399.48	178.66	59.5	13.76	2.61	0.47	122.77	31.6	0.65	10.56	0.2	93.11	78.78	23.35	2.31	122.21	51.44	0.17	2.52	6.98
CGGA_1391	225.5	263.31	71.2	22.05	16.61	2.07	1.58	93.63	37.83	0.03	0.17	0.23	1.41	72.99	19.5	2.18	301.7	21.85	0.99	1.96	0.38
CGGA_1392	429.2	1098.06	606.82	46.01	39.17	8.35	0.52	164.54	181.78	0.12	33.29	0.15	503.32	166.4	961.93	258.45	189.97	88.87	6.36	0.44	0.17
CGGA_1398	220.71	178.94	136.74	31.48	19.48	3.64	0.24	53.63	33.9	0	0.13	0.06	0.23	77.84	5.57	0.39	111.34	17.08	1.97	0.11	0.34
CGGA_1400	766.43	183.98	21.13	16.37	2.75	0.69	0.07	4.19	1.36	0.34	0.16	0	15.02	4.87	2.21	0	107.17	118.42	1.1	0	0.13
CGGA_1401	60.15	100.42	135.49	14.76	13.85	0.8	0.34	25.28	7.06	0	0.24	0	0.42	19.81	4.25	0.47	120.84	8.89	0.26	0.05	0.44
CGGA_1402	1134.27	1332.53	78.96	79.24	100.96	6.39	0.41	352.29	247.86	0.3	89.43	0.17	49.91	463.54	464.32	274.12	329.81	135.58	50.53	0.76	0.34
CGGA_1403	172.65	197.22	38.14	27.48	28.57	2.36	0.47	109.79	21.34	0.11	1.18	1.61	0.12	183.5	9.39	0	81.55	17.58	13.1	0.31	0.66
CGGA_1404	297.2	339.58	39.74	26.5	16.74	1.28	0.15	53.71	25.86	0.24	6.03	0.21	5.76	39.42	6.3	0.65	136.71	51.67	7.94	1.2	1.72
CGGA_1407	221.01	249.6	316.65	31.81	8.49	1.35	0.16	5.63	18.65	0.61	0.64	0.03	72.45	9.36	25.91	23.87	275.6	38.84	0.32	0.49	0.3
CGGA_1410	267.76	361.71	293.07	28.24	40.27	5.7	1.48	82.1	18.96	0.22	21.47	0.13	30.12	185.2	74.46	60.66	142.47	19.52	3.12	0.25	0.61
CGGA_1413	60.43	111.92	8	5.5	6.56	0.41	0	18.66	4.64	0.11	3.49	0	1.67	23.01	18.05	8.77	90.08	11.88	0.94	0.08	0.61
CGGA_1415	442.42	379.24	521.74	119.29	146.66	57.72	0.8	786	199.07	3.22	0.17	2.31	0.05	605.74	52.74	2.61	384.11	99.25	4.92	0.28	0.89
CGGA_1416	281.32	121.93	45.01	7.9	10.69	0.84	0.21	53.31	41.78	0	0.36	0.49	0.12	22.37	8.03	0.13	146.52	65.57	1.35	0	0.11
CGGA_1417	129.74	86.79	108.9	10.09	11.05	3.13	0.27	56.7	15.21	0.1	6.58	0	1.77	53.38	8.16	0.03	113.38	21.32	1.76	0.16	0.48
CGGA_1418	127.16	9.88	7.24	5.01	9.22	5.69	0	46.86	19.98	0	28.39	0.04	12.19	26.81	32.86	23.1	42.53	8.52	0.08	0.06	0.28
CGGA_1419	104.02	336.43	15.68	31.71	20.26	5.77	0.33	66.61	6.79	0.27	15.75	0.12	39.16	93.75	12.37	0.04	340.78	52.35	1.61	0.35	1.54
CGGA_1420	114.71	178.09	25.57	9.45	4.21	0.83	0.15	25.05	6.57	1	2.26	0	4.18	21.58	5.48	0.41	110.99	22.84	20.04	0	1.48
CGGA_1421	105.49	177.19	178.83	5.64	10.93	1.46	0.47	15.84	33.19	0.36	0.24	0.37	0.53	9.42	5.27	0.36	124.2	51.78	0.09	0.21	0.39
CGGA_1422	41.74	12.03	1.74	1.52	4	0.79	0.05	12.06	9.86	0	4.97	0.03	0.38	10.15	1.02	0	22.54	4.46	0.08	0.05	0.33
CGGA_1424	41.95	9.27	3.16	0.63	0.88	0.82	0.04	3.55	1	0	0	0.08	0	1.41	0.35	0	17.87	3	0	0	0.17
CGGA_1425	493.38	270.27	462.93	26.78	4.46	0.75	0.98	19.08	19.61	0.19	1.28	0.03	60.87	45.06	26.49	31.8	132.68	112.78	5.78	0.36	0.51
CGGA_1426	464.4	520.9	313.36	29.19	22.47	2.84	0.2	71.31	10.59	0.07	36.35	0.11	74.12	164.31	171.66	139.58	128.95	37.2	1.41	0.07	0.39
CGGA_1427	105.3	45.17	9.96	15.68	7.06	1.56	2.57	18.99	24.32	0.03	2.09	0	60.55	23.94	68.43	35.73	227.49	28.26	0.38	0.41	0.57
CGGA_1429	368.64	137.81	264.38	16.19	17.25	2.96	0.09	57.71	14.19	0.72	14.94	0.05	4.54	118.36	85.67	58.77	87.97	40.84	11.4	0.17	0.41
CGGA_1430	120.63	64.87	141.66	1.15	0.66	0.12	0.18	8.08	6.44	0	0.91	0	0.48	5.16	8.79	4.26	25.42	5.92	2.47	0.14	1.4
CGGA_1431	384.83	159.95	36.96	20.55	35.11	3.49	1.15	78.12	76.32	0.06	2.84	0	60.02	40.02	88.13	61.88	168.75	60.63	1.21	0.21	0.36
CGGA_1433	1568.54	1074.85	1204.22	46.38	45.45	6.51	0.25	157.27	86.19	0.15	44.71	0.74	14.14	274.43	18.26	0.04	315.62	51.45	6.36	0.51	0.35
CGGA_1434	501.22	357.23	97.69	77.06	48.37	8.04	0.68	162.61	57.22	0.23	17.61	1	15.35	162.57	22.85	0.07	252.23	105.07	18.45	0.91	0.65
CGGA_1435	227.8	334.24	22.92	54.45	50.29	18.86	0.81	191.55	84.06	0.77	68.8	0.06	54.11	380.36	17.23	0.25	181.43	38.26	0.56	0.09	0.92
CGGA_1437	154.08	159.04	119.44	10.29	10.24	1.59	0.72	53.03	22.23	0.33	3.1	0.45	29.84	104.63	55.76	33.94	102	30.21	4.05	0.11	1.3
CGGA_1440	213.25	170.24	213.5	19.05	13.69	3.86	0.21	32.76	28.66	0.11	5.72	0.23	2.36	39.48	48.84	41.49	124.02	37.78	2.93	0.25	0.68
CGGA_1441	1247.31	2022.82	261.01	119.41	165.14	19.38	1.88	484.42	56.39	1.96	0.12	8.61	0.08	531.66	199.35	0.21	595.68	223.16	32.15	2.54	0.53
CGGA_1443	762.33	1333.9	683.29	126.44	73.35	7.57	1.67	347.44	426.32	0.6	73.7	0.21	197.9	588.78	543.4	581.97	423.68	325.63	2.42	0.68	1
CGGA_1444	257.81	211.91	45.51	39.27	37.7	3.04	0.69	142.79	103.47	0	18.55	0	64.7	154.44	170.28	111	137.02	36.51	9.49	0.25	1.01
CGGA_1445	22.76	13.59	14.98	0.65	2.1	0.29	0	3.2	1.31	0	0	0	0	3.82	0.32	0	13.76	2.85	0.13	0	0.15
CGGA_1446	10.16	7.97	18.43	0.21	0.49	0.07	0	2.68	0.26	0	0.04	0	0.59	0.89	0.08	0	14.37	0.73	0.23	0.11	0.07
CGGA_1447	22.68	14.14	2.84	1.74	3.34	1.05	0.42	6.08	1.98	0	0.03	0.24	0.03	8.43	0.53	0	26.01	2.78	0.21	0	0.4
CGGA_1451	920.04	1819.14	75.61	59.28	78.18	12.73	1.03	229.79	33.05	0.87	42.93	0.43	396.11	266.01	663.42	411.07	346.74	130.11	26.49	0.74	0.43
CGGA_1452	214.64	2328.94	91.53	70.64	82.61	13.41	1.75	316.83	190.18	0.21	30.49	0.03	292.92	201.58	576.89	364.86	353.59	226.33	3.54	0.22	0.58
CGGA_1454	110.08	85.47	8.06	7.71	3.39	0.43	0.16	22.39	16.4	0.27	2.14	0.05	10.9	9.49	2.02	0.07	67.01	16.1	1.65	0.06	1.09
CGGA_1455	22.84	8.42	20.67	0.48	1.49	0.47	0	1.86	0.12	0	0.18	0	0.18	1.35	0.85	1.21	9.47	1.3	0.03	0	0.24
CGGA_1457	1247.48	1292.96	79.37	113.2	83.61	21	2.77	697.23	286.08	2.81	157.71	3.93	605.39	704.03	966.27	677.79	436.89	223.91	5.27	0.47	1.17
CGGA_1458	345.93	96.81	121.27	6.15	4.08	1.09	1.37	39.77	21.39	0	0.09	0.03	0.03	18.37	2.55	0.23	47.42	33.16	1.24	0.22	0.59
CGGA_1459	198.86	1009.53	785.26	27.74	22.07	2.85	0.31	125.07	49.78	0.24	0	0.47	0	84.32	7.54	0	134.31	50.9	2.04	0.58	0.6
CGGA_1461	1021.66	411.86	40.53	17.58	15.08	1.68	0.11	83.5	37.04	0.06	16.52	0.34	8.31	73.53	5.67	0.03	155.17	45.66	3.28	0.3	0.69
CGGA_1462	205.11	630.39	476.27	45.71	64.56	6.03	0.76	100.49	12.81	0.48	58.21	0	66.03	171.13	359.07	169.69	172.13	59.17	1.37	0.06	0.9
CGGA_1463	180.25	193.42	138.27	6.39	7.97	1.14	0.23	18.38	1.96	0.04	6.69	0.03	1.22	25.96	22.82	17.43	114.58	21.93	1.33	0.07	0.27
CGGA_1467	28.04	14.7	62.15	1.69	3.55	2.22	0	21.12	4.58	0	4.03	0	3.24	8.01	10.28	13.81	18.68	4.11	1.52	0.05	0.23
CGGA_1469	23.85	2.66	1.4	0.47	0.52	0.58	0	5.24	1.11	0	0	0.07	0	2.81	0.44	0	18.13	1.4	1.29	0	0.06
CGGA_1471	279.18	372.23	321.84	58.6	58.9	8.3	0.8	245.41	99.97	0	0.11	0.45	0.51	205.27	31.35	3.16	194.73	66.23	7.48	0.11	0.61
CGGA_1472	326.85	641.42	274.59	8.57	16.89	6.33	1.13	16.17	4.63	0.31	1.59	0	4.19	13.58	8.43	1.15	222.15	85.22	4.68	0.53	0.9
CGGA_1473	38.64	31.04	9.93	4.51	8.41	23.89	3.32	3.93	2.51	2.08	1.83	0.32	6.78	4.45	2.52	0	56.5	48.2	0	1.74	13.8
CGGA_1474	46.16	27.67	101.66	3.1	7.59	4.81	0.09	33.53	7.46	0.11	0.71	3.41	0	30.06	1.4	0	42.41	6	0.45	0.05	0.3
CGGA_1476	136.41	40.05	14.4	30.19	21.05	2.55	0.6	139.3	12.17	0.03	0	0.64	0.35	212.6	22	0.74	216.92	32.89	1.97	1.01	0.59
CGGA_1477	296.28	263.8	265.71	68.49	25.83	4.76	1.23	68.35	64.5	0	6.32	0	24.83	59.81	5.49	0.33	215.86	64.27	5.18	0.23	0.21
CGGA_1478	206.74	118.32	218.87	70.65	9.36	1.71	1.71	89.1	6.06	0.12	8.12	0.09	131.96	42.61	9.55	0.9	125.03	66.47	1.56	2.98	0.33
CGGA_1480	334.75	445.55	64.11	58.71	42.24	10.49	0.91	206.67	107.23	0.66	0.04	1.44	0	204.03	45.39	3.07	324.77	96.8	1.42	2.73	0.76
CGGA_1481	11.6	6.55	8.11	2.07	2.11	0.63	0.08	3.65	1.57	0	2.51	0.06	0.76	6.8	0.68	0	39.84	2.91	0.17	0.17	0.1
CGGA_1482	289.94	119.46	21.34	6.31	22.13	0.9	0.18	9.84	27.13	0.07	0.23	0.16	0.68	6.23	4.51	0.82	174.4	49.8	0.55	0.14	0.05
CGGA_1486	30.43	10.52	6.37	2.88	3.9	2.97	0	20.81	4.89	0	0.12	0.32	0	12.17	0.9	0	31.24	4.5	0.23	0.1	0.09
CGGA_1487	785.68	687.77	854.84	7.46	7.45	0.36	0.1	12.65	1.4	0.61	1.87	0.05	14.57	45.26	48.62	26.44	137.86	49.71	4.21	1.56	1.22
CGGA_1488	182.29	109.4	11.4	11.37	15.76	4.72	0	54.59	11.98	0.03	4.98	0	1.7	31.05	1.85	0.12	115.05	25.75	7.94	0.08	0.58
CGGA_1491	743.92	164.86	292.56	14.55	14.18	2.22	0.27	46.63	5.4	0.03	13.97	0	4.77	73.81	117.85	78.29	87.22	19.91	4	0	0.28
CGGA_1492	221.91	425.56	25.29	62.43	34.79	12.51	0.43	207.25	60.69	0.14	1.46	0.33	0.24	242.41	40.36	5.13	160.86	21.73	2.11	0.19	0.98
CGGA_1494	42.4	19.88	0.49	1.83	3.57	1.04	0.04	10.04	2.58	0	0	0	0	7.57	0.39	0.04	15.84	2.8	1.24	0.12	0.37
CGGA_1496	192.12	227.06	22.24	29.15	14.77	2.49	0.18	103.55	50.52	0.06	14.01	0.44	25.7	85.48	61.3	48.44	69.85	17.56	0.97	0.15	0.52
CGGA_1497	86.46	45.14	4.8	7.32	7.9	0.25	1.47	7.8	3.85	0	0.34	0.09	0.35	11.32	0.67	0.11	42.13	18.69	0.44	0.36	0.74
CGGA_1498	153.87	25.85	167.74	6.07	12.15	9.33	0.16	109.22	45.95	0.03	0	0.03	0.07	47.57	6.68	0.08	99.28	19.01	1.7	0.08	0.34
CGGA_1500	378.7	211.69	237.91	53.13	30.64	2.77	0.36	78.8	33.2	0.03	0.06	0.59	0.18	61.1	9.46	0.06	203.18	26.37	0.98	0.14	0.89
CGGA_1501	479	349.61	24.24	18.33	30.04	3.64	0.34	26.49	83.7	0.14	0.2	1.53	0.21	46.39	30.01	0.4	278.61	107.53	15.54	0.7	0.18
CGGA_1502	438.83	931.34	562.23	79.95	22.31	2.58	0.86	167.31	97.43	0.18	17.98	0	25.99	74.85	353.84	159.26	316.25	120.64	35.3	0.14	0.22
CGGA_1503	74.7	34.81	5.89	3.53	7.95	1.65	0.07	46.91	9.28	0.08	0	0.06	0	37.19	1.51	0	39.24	9.77	0.37	0	1.12
CGGA_1504	331.26	406.31	457.65	213	41.23	6.11	0.89	131.14	115.12	0.04	7.27	0.18	18.2	101.08	242.78	9.67	217.48	109.28	0.47	0.32	0.19
CGGA_1505	298.94	378.61	258.95	72.96	40.42	8.26	0.81	176.65	64.51	0.1	0.58	1.99	0.33	201.82	28.6	4.18	156.26	22.55	0.34	0.48	1.62
CGGA_1507	373.53	985.75	44.66	116.46	94.33	16.36	2.18	296.74	205.83	0.98	98.15	1.31	352.98	528.92	791.67	498.23	475.64	127.33	1.1	0.87	1.37
CGGA_1508	391.7	450.8	182.09	78.72	52.14	6.23	3.51	113.23	11.64	0.19	0.05	1.16	0	137.73	34.01	0.1	303.07	107.03	41.18	0.07	0.09
CGGA_1510	278.2	26.25	12.37	28.81	15.24	2.2	0.73	69.05	3.07	0.03	8.34	0.1	3.21	52.45	5.69	0.04	97.15	24.81	1.03	0.08	1.29
CGGA_1513	378.61	80.67	21.48	7.22	2.52	0.11	1.38	3.06	0.19	0.11	0.01	0	0	1.73	0.47	0	73.34	20.87	2.05	0.1	0.32
CGGA_1514	16.15	9.23	9.16	1.91	3.45	0.61	0.11	34.24	4.65	0.18	5.05	0	6.3	5.46	12.07	7.61	34.58	4.12	0.04	0	0.4
CGGA_1516	221.62	127.89	21.09	8.57	6.93	1.23	0.49	29.03	9.81	0.14	0.91	0.03	1.23	14.7	15.66	13.42	108.39	44.38	0.99	0	0.57
CGGA_1517	168.35	187.76	17	9.43	10.63	1.22	0.37	30.91	19.06	0	0.03	0.22	0.03	13.69	5.71	0.03	90.74	27.19	1.77	0.1	0.29
