id	HLA-A	HLA-B	HLA-C	HLA-DMA	HLA-DMB	HLA-DOA	HLA-DOB	HLA-DPA1	HLA-DPB1	HLA-DPB2	HLA-DQA1	HLA-DQA2	HLA-DQB1	HLA-DQB2	HLA-DRA	HLA-DRB1	HLA-DRB5	HLA-DRB6	HLA-E	HLA-F	HLA-G	HLA-H	HLA-J	HLA-L
TCGA.CS.6667.01A.12R.2027.07	154.8700061	101.0762654	139.5675766	7.678614596	3.625691704	1.041168081	0.115716474	4.365642397	5.562937554	0.019196536	0.199530912	0.090692298	0.629445976	0.143879366	32.33416615	20.13869779	3.802742467	0.71806049	211.3361221	3.38481537	0.104530204	4.343741834	0.197369531	0.167381245
TCGA.HT.8107.01A.13R.2404.07	57.7257728	45.78720245	72.04265901	2.702949413	0.850402567	0.926358381	0.153279381	5.244493488	6.535649376	0.32929201	0.5714774	0.224246527	1.899007757	0.533635967	36.48911465	22.85551906	13.04171531	0.730238692	81.07269508	2.331735225	0.088846398	4.131578585	0.217864971	0.509575284
TCGA.HT.7881.01A.11R.2403.07	75.38842802	66.06109971	61.08714162	3.135167396	0.832201168	0.935403085	0.12216691	1.90339787	5.047750561	0.331021424	0.18568712	0.009929402	0.709717339	0.067155657	18.63177731	15.88670744	5.788746539	0.467894967	69.97530634	2.707941269	0.446333077	5.453741921	0.23152399	0.525029958
TCGA.DU.8166.01A.11R.2256.07	47.892663	109.7110282	100.125149	8.409373864	3.760519069	3.291682966	0.282979035	11.76746927	14.25610888	0.19329965	1.611807097	2.831002742	1.813169633	1.372541891	152.0905806	53.9341599	16.69127133	5.376237615	96.61473848	2.603446225	0.622769149	5.64378539	0.236596878	0.646087839
TCGA.DU.5854.01A.11R.1708.07	247.1805257	236.6156433	273.711669	25.81070518	11.32420809	10.77637296	0.502878109	45.31056476	60.70930744	0.424703422	5.996245796	8.549803788	4.91907715	3.786310582	388.6832626	149.8838302	37.19862667	11.95319132	213.3024754	5.559682745	0.211990364	11.74909465	2.900667187	0.290078995
TCGA.VW.A7QS.01A.12R.A33Z.07	189.3273715	150.3548026	222.3636931	4.192987946	1.113218665	0.311292923	0.260845295	2.007378454	9.89123661	0.396108629	0.742709986	1.859148111	1.303764127	0.597448912	41.80984829	24.05813144	8.018333402	3.711212067	51.38486391	2.37405448	0.348912876	7.95958945	0.399274304	1.44247284
TCGA.DU.A76O.01A.11R.A32Q.07	231.4175487	397.7176513	288.13888	35.51591377	17.78065385	10.60720467	0.28857437	40.70445659	68.85264156	0.248227398	6.570662009	0.104242477	12.05502389	0.058752047	373.9856038	156.3375749	33.64860287	3.908739121	240.6812853	17.25128966	2.016231618	18.58987668	3.585169277	1.973193632
TCGA.HW.7487.01A.11R.2027.07	101.1874714	65.61086734	105.1808132	4.310916038	1.908644571	1.241595395	0.180300544	4.246901285	6.131870038	0.091032177	0.391095364	0.086014655	2.346343225	0.107730387	44.27577509	28.31491641	11.28221013	0.735946408	87.31255635	2.686937772	0.123923553	3.003397373	0.213931187	0.296329993
TCGA.E1.A7YY.01A.11R.A34R.07	86.00802297	116.7240082	88.46519584	5.69935199	2.496026132	1.647338765	0.518197271	4.576538261	8.858121153	0.020398528	0.405202465	2.013083095	0.465871769	0.297729997	54.73180089	16.75682774	9.091915411	3.482825624	78.97213042	2.987900487	0.90711549	7.280934506	0.409468619	1.084957138
TCGA.S9.A6TU.01A.12R.A32Q.07	124.7728663	150.8828766	132.2790384	17.11097509	8.646180345	5.117205793	2.197129031	14.56267649	30.30390711	0.359179935	1.510507155	6.553595332	1.79822322	1.045562212	168.41204	63.70561819	36.06347412	10.44642531	161.5853836	3.514268647	1.191482327	9.492547983	1.491719308	1.267124803
