Tumor_Sample_Barcode	C>A	C>G	C>T	T>C	T>A	T>G
TCGA.32.4213	13	1	35	4	1	1
TCGA.32.5222	8	2	59	14	4	0
TCGA.41.2571	6	4	39	3	7	1
TCGA.41.2572	2	5	47	7	0	4
TCGA.41.3915	3	1	27	5	3	1
TCGA.41.4097	2	6	20	5	3	3
TCGA.41.5651	14	9	68	12	4	4
TCGA.76.4925	3	7	54	10	4	2
TCGA.76.4926	2	6	54	5	2	3
TCGA.76.4927	2	4	46	4	3	4
TCGA.76.4928	7	5	59	12	5	2
TCGA.76.4929	5	2	62	4	3	1
TCGA.76.4931	3	3	43	4	0	2
TCGA.76.4932	3	3	52	7	3	0
TCGA.CS.4938	2	3	8	6	1	1
TCGA.CS.4941	2	5	38	3	7	3
TCGA.CS.4942	2	2	17	8	1	0
TCGA.CS.4943	1	6	13	7	2	3
TCGA.CS.4944	3	1	8	7	1	0
TCGA.CS.5390	5	3	25	5	3	2
TCGA.CS.5393	2	2	11	11	1	0
TCGA.CS.5394	1	4	12	7	2	0
TCGA.CS.5395	6	1	36	3	2	3
TCGA.CS.5396	4	2	15	11	3	1
TCGA.CS.5397	10	4	26	8	3	1
TCGA.CS.6186	3	3	47	1	4	4
TCGA.CS.6188	4	5	33	7	0	1
TCGA.CS.6290	4	1	12	3	1	0
TCGA.CS.6666	2	10	17	9	1	1
TCGA.CS.6667	1	5	16	7	2	2
TCGA.CS.6668	0	0	16	7	0	2
TCGA.CS.6669	0	0	0	0	1	0
TCGA.CS.6670	1	2	19	16	1	1
TCGA.DB.5270	2	2	11	5	3	1
TCGA.DB.5273	0	5	13	3	3	0
TCGA.DB.5274	0	6	29	8	0	3
TCGA.DB.5275	5	3	17	7	3	1
TCGA.DB.5277	2	8	25	11	2	1
TCGA.DB.5278	1	0	4	0	0	2
TCGA.DB.5279	2	3	40	7	4	1
TCGA.DB.5280	2	3	10	4	0	1
TCGA.DB.5281	5	4	37	8	5	2
TCGA.DB.A4X9	2	1	16	4	1	1
TCGA.DB.A4XA	3	1	8	1	0	0
TCGA.DB.A4XB	4	3	17	6	2	0
TCGA.DB.A4XC	1	3	6	7	0	2
TCGA.DB.A4XD	0	0	21	7	2	4
TCGA.DB.A4XE	6	3	10	3	5	1
TCGA.DB.A4XF	3	2	22	5	1	2
TCGA.DB.A4XG	6	0	15	2	0	1
TCGA.DB.A4XH	6	5	34	7	2	0
TCGA.DB.A64L	10	4	55	13	5	1
TCGA.DB.A64O	2	1	13	3	2	1
TCGA.DB.A64P	4	2	14	2	3	2
TCGA.DB.A64Q	1	1	13	5	5	1
TCGA.DB.A64R	0	2	9	2	1	2
TCGA.DB.A64S	1	1	6	1	0	1
TCGA.DB.A64U	2	0	6	3	3	1
TCGA.DB.A64V	1	3	20	10	1	1
TCGA.DB.A64W	3	1	32	8	4	2
TCGA.DB.A64X	8	6	42	19	7	4
TCGA.DB.A75K	1	0	18	7	3	7
TCGA.DB.A75L	3	3	15	13	2	1
TCGA.DB.A75M	4	3	8	9	1	1
TCGA.DB.A75O	1	3	8	1	2	1
TCGA.DB.A75P	1	0	2	0	1	0
TCGA.DH.5140	3	2	17	5	1	0
TCGA.DH.5141	1	3	21	1	0	1
TCGA.DH.5142	5	3	20	6	3	2
TCGA.DH.5143	3	2	15	8	0	4
TCGA.DH.5144	2	3	27	10	0	0
TCGA.DH.A669	4	4	34	12	5	2
TCGA.DH.A66B	4	4	23	6	2	2
TCGA.DH.A66D	5	9	20	7	3	3
TCGA.DH.A66F	2	1	12	5	1	0
TCGA.DH.A66G	4	4	16	7	3	0
TCGA.DH.A7UR	8	7	43	7	2	6
TCGA.DH.A7US	4	4	24	6	1	1
TCGA.DH.A7UT	0	7	11	3	1	2
TCGA.DH.A7UU	9	8	15	13	5	4
TCGA.DH.A7UV	2	5	15	8	0	3
TCGA.DU.5847	4	5	27	2	5	1
TCGA.DU.5849	3	4	26	8	2	1
TCGA.DU.5852	5	3	69	8	4	3
TCGA.DU.5853	3	3	10	3	3	1
TCGA.DU.5854	5	3	36	7	2	2
TCGA.DU.5855	4	3	40	10	0	3
TCGA.DU.5870	0	2	9	5	0	0
TCGA.DU.5871	3	4	19	5	2	2
TCGA.DU.5872	2	4	10	12	1	2
TCGA.DU.5874	3	2	35	8	4	1
TCGA.DU.6392	3321	48	8491	1534	227	474
TCGA.DU.6393	2	2	22	6	2	0
TCGA.DU.6394	3	3	10	2	2	1
TCGA.DU.6395	1	3	12	8	2	4
TCGA.DU.6396	3	9	27	6	4	2
TCGA.DU.6397	6	4	8	5	1	0
TCGA.DU.6399	9	4	29	16	1	2
TCGA.DU.6400	1	3	37	7	4	0
TCGA.DU.6401	4	2	14	7	0	0
TCGA.DU.6402	6	4	34	7	2	3
TCGA.DU.6403	10	5	44	6	1	3
TCGA.DU.6404	1	0	11	1	0	1
TCGA.DU.6405	8	2	42	6	0	1
TCGA.DU.6406	2	1	5	0	0	0
TCGA.DU.6407	2	1	18	4	0	3
TCGA.DU.6408	1	1	11	2	3	0
TCGA.DU.6410	5	1	30	10	1	0
TCGA.DU.6542	4	5	12	5	1	0
TCGA.DU.7006	4	6	46	5	4	3
TCGA.DU.7007	2	7	28	4	4	2
TCGA.DU.7008	4	2	22	7	4	0
TCGA.DU.7009	1	1	12	1	3	2
TCGA.DU.7010	23	10	53	14	8	5
TCGA.DU.7011	3	1	10	6	1	0
TCGA.DU.7012	6	5	51	5	2	0
TCGA.DU.7013	6	4	28	5	0	1
TCGA.DU.7015	3	2	19	11	3	2
TCGA.DU.7018	5	2	21	6	1	2
TCGA.DU.7019	4	1	22	5	0	1
TCGA.DU.7290	5	4	25	3	4	1
TCGA.DU.7292	7	7	38	2	1	1
TCGA.DU.7294	5	4	14	6	1	1
TCGA.DU.7298	3	6	13	9	3	2
TCGA.DU.7299	1	1	14	5	1	0
TCGA.DU.7300	6	1	21	12	2	1
