Tumor_Sample_Barcode	C>A	C>G	C>T	T>C	T>A	T>G
TCGA.S9.A7J0	4	5	29	10	3	1
TCGA.S9.A7J1	3	3	8	1	3	0
TCGA.S9.A7J2	0	0	11	0	1	0
TCGA.S9.A7J3	1	2	18	6	1	0
TCGA.S9.A7QW	3	2	25	7	5	2
TCGA.S9.A7QX	5	1	15	7	3	0
TCGA.S9.A7QY	5	1	35	7	1	2
TCGA.S9.A7QZ	3	4	24	7	5	1
TCGA.S9.A7R1	1	0	14	3	0	0
TCGA.S9.A7R2	9	6	25	9	4	2
TCGA.S9.A7R3	3	1	18	9	1	1
TCGA.S9.A7R4	4	6	16	5	2	0
TCGA.S9.A7R7	2	0	15	4	2	0
TCGA.S9.A7R8	2	2	20	9	1	4
TCGA.S9.A89V	6	4	30	8	1	1
TCGA.S9.A89Z	8	2	26	23	8	4
TCGA.TM.A7C3	7	4	56	7	1	1
TCGA.TM.A7C4	4	6	18	8	3	3
TCGA.TM.A7C5	0	1	19	5	2	2
TCGA.TM.A7CA	3	7	13	14	3	1
TCGA.TM.A7CF	3	5	16	7	0	3
TCGA.TM.A84B	1	3	28	5	2	0
TCGA.TM.A84C	0	2	6	5	2	1
TCGA.TM.A84F	1	3	9	4	1	0
TCGA.TM.A84G	4	0	17	11	4	0
TCGA.TM.A84H	2	8	21	9	1	2
TCGA.TM.A84I	6	4	15	13	1	0
TCGA.TM.A84J	5	4	28	12	1	1
TCGA.TM.A84L	1	2	16	4	0	2
TCGA.TM.A84M	3	1	25	4	2	0
TCGA.TM.A84O	2	3	19	6	1	1
TCGA.TM.A84Q	2	6	13	7	2	1
TCGA.TM.A84R	2	0	4	1	1	0
TCGA.TM.A84S	1	3	11	6	0	1
TCGA.TM.A84T	2	5	12	7	0	1
TCGA.TQ.A7RF	5	3	17	4	1	1
TCGA.TQ.A7RG	2	4	22	3	1	1
TCGA.TQ.A7RH	8	1	28	7	1	1
TCGA.TQ.A7RI	3	1	15	13	0	2
TCGA.TQ.A7RJ	1	13	22	7	4	1
TCGA.TQ.A7RK	1	4	13	6	1	3
TCGA.TQ.A7RM	12	5	42	13	3	3
TCGA.TQ.A7RN	2	2	22	1	2	2
TCGA.TQ.A7RO	1	1	17	4	0	0
TCGA.TQ.A7RP	7	2	32	8	1	1
TCGA.TQ.A7RQ	2	0	20	6	1	1
TCGA.TQ.A7RR	2	1	18	11	0	1
TCGA.TQ.A7RS	2	2	12	4	0	1
TCGA.TQ.A7RV	0	3	16	2	2	0
TCGA.TQ.A7RW	4	7	27	12	5	3
TCGA.TQ.A8XE	3	2	15	14	2	0
TCGA.VM.A8C8	2	4	33	11	1	1
TCGA.VM.A8C9	1	0	2	3	1	0
TCGA.VM.A8CA	4	0	20	7	0	0
TCGA.VM.A8CB	2	2	14	5	3	0
TCGA.VM.A8CD	4	3	15	5	0	1
TCGA.VM.A8CE	3	3	7	2	2	0
TCGA.VM.A8CF	7	8	19	10	3	1
TCGA.VM.A8CH	1	1	10	3	0	1
TCGA.VV.A829	1	4	25	6	0	2
TCGA.VV.A86M	0	2	4	4	2	1
TCGA.VW.A7QS	3	1	28	6	1	4
TCGA.VW.A8FI	4	2	48	8	2	1
TCGA.W9.A837	2	4	16	5	1	0
TCGA.WH.A86K	5	3	27	8	4	0
TCGA.WY.A858	1	4	18	10	2	1
TCGA.WY.A859	9	4	14	2	1	1
TCGA.WY.A85A	1	0	12	0	0	1
TCGA.WY.A85B	1	1	10	3	0	0
TCGA.WY.A85C	4	4	14	6	2	2
TCGA.WY.A85D	3	4	21	11	2	3
TCGA.WY.A85E	13	5	30	15	7	6
